student_id,class,grade
44,math,28
45,engineering,6
45,gym,33
45,chemistry,54
46,engineering,83
46,english,30
46,math,69
47,chemistry,10
47,writing,19
48,gym,18
48,history,78
48,engineering,41
48,writing,52
49,math,33
49,engineering,75
49,chemistry,5
49,english,45
50,civics,65
50,history,21
50,gym,23
51,gym,68
51,history,36
51,chemistry,83
51,math,47
52,chemistry,53
52,writing,64
53,history,89
53,civics,69
53,math,99
54,chemistry,70
54,gym,63
54,civics,84
54,history,82
55,writing,36
55,history,87
55,english,10
55,engineering,94
56,engineering,23
56,history,51
56,english,63
57,english,87
57,math,87
57,gym,31
58,civics,90
58,chemistry,13
58,math,64
58,writing,87
59,history,19
59,math,39
59,chemistry,25
59,engineering,43
60,engineering,82
60,civics,32
60,gym,16
60,math,91
61,engineering,63
61,civics,1
61,english,21
62,english,50
62,gym,51
62,civics,49
63,chemistry,26
63,english,99
63,gym,66
64,engineering,91
64,civics,19
64,chemistry,76
65,civics,9
65,writing,28
65,gym,16
66,math,76
66,engineering,24
66,writing,42
66,gym,64
67,writing,28
67,english,1
67,engineering,60
67,math,2
68,english,90
68,engineering,10
68,chemistry,52
68,writing,46
69,math,81
69,english,75
69,writing,52
69,engineering,40
70,english,24
70,civics,99
70,math,81
70,engineering,79
71,engineering,96
71,math,54
71,writing,51
71,gym,17
72,math,0
72,gym,25
72,history,58
73,engineering,8
73,english,0
73,civics,51
74,math,3
74,english,1
74,engineering,68
75,chemistry,50
75,gym,33
75,civics,21
76,civics,34
76,history,43
76,engineering,63
76,writing,2
77,writing,5
77,engineering,33
77,gym,100
77,civics,84
78,history,14
78,engineering,83
78,english,77
79,engineering,57
79,english,91
79,chemistry,81
80,writing,66
80,english,23
80,history,64
80,gym,90
81,writing,90
81,engineering,74
81,chemistry,12
81,math,29
82,math,66
82,engineering,81
82,writing,39
83,civics,57
83,history,75
83,english,71
83,math,54
84,engineering,81
84,chemistry,53
84,history,42
85,english,91
85,chemistry,10
86,english,20
86,gym,42
86,history,81
86,civics,66
87,engineering,13
87,civics,78
87,english,59
88,chemistry,46
88,civics,24
88,writing,81
89,engineering,18
89,gym,43
89,english,100
90,chemistry,35
90,writing,54
90,english,69
90,civics,87
91,engineering,65
91,gym,73
91,math,43
92,gym,76
92,english,86
92,civics,66
93,engineering,32
93,chemistry,39
93,history,100
94,english,26
94,engineering,29
94,civics,42
94,writing,87
95,writing,58
95,chemistry,95
95,history,86
95,civics,79
96,history,88
96,civics,100
96,math,40
96,english,11
97,history,0
97,math,59
97,writing,41
98,gym,37
98,math,54
98,writing,12
98,civics,50
99,engineering,7
99,math,9
99,history,2
100,writing,87
100,civics,81
100,english,67
101,civics,78
101,writing,91
101,english,97
102,writing,55
102,english,36
102,engineering,77
103,gym,48
103,writing,13
104,chemistry,69
104,civics,35
104,math,3
105,civics,5
105,writing,69
105,gym,58
106,civics,6
106,math,63
106,english,76
107,english,32
107,engineering,49
107,math,36
107,chemistry,10
108,chemistry,42
108,civics,91
108,gym,21
108,history,38
109,history,78
109,engineering,10
109,math,50
110,chemistry,7
110,english,29
110,civics,58
111,history,80
111,civics,17
112,writing,91
112,english,76
112,civics,69
112,math,87
113,history,35
113,writing,6
113,gym,61
113,civics,42
114,chemistry,35
114,history,97
114,english,63
115,writing,68
115,english,26
115,math,56
115,chemistry,17
116,chemistry,9
116,engineering,57
116,writing,25
117,gym,38
117,history,9
117,civics,9
118,chemistry,73
118,history,36
118,math,60
119,engineering,63
119,gym,61
119,chemistry,89
120,chemistry,19
120,writing,92
121,math,8
121,english,86
121,chemistry,2
122,writing,98
122,math,6
122,history,29
123,civics,96
123,gym,95
123,english,19
124,history,46
124,civics,75
124,chemistry,36
124,engineering,12
125,english,37
125,history,74
125,chemistry,97
125,writing,55
126,civics,100
126,gym,74
126,math,97
126,writing,74
127,chemistry,79
127,gym,91
127,history,0
128,math,74
128,chemistry,27
128,english,21
128,gym,49
129,civics,91
129,engineering,35
129,chemistry,63
129,english,27
130,engineering,16
130,english,94
130,civics,40
130,math,42
131,gym,98
131,english,32
131,math,29
132,math,65
132,chemistry,88
132,history,33
133,chemistry,30
133,civics,91
133,writing,69
134,gym,64
134,civics,69
134,english,34
134,writing,87
135,chemistry,6
135,writing,48
135,math,11
136,chemistry,7
136,english,64
137,engineering,36
137,chemistry,81
137,gym,16
138,history,47
138,civics,89
138,chemistry,5
139,math,45
139,gym,52
139,engineering,7
139,writing,25
140,writing,3
140,math,40
140,engineering,71
141,writing,57
141,gym,84
141,chemistry,23
142,civics,71
142,chemistry,11
142,engineering,55
142,english,31
143,history,48
143,engineering,54
143,gym,66
144,chemistry,65
144,engineering,51
144,english,69
145,engineering,10
145,history,88
145,gym,32
146,history,2
146,writing,96
147,english,66
147,history,34
147,writing,94
147,chemistry,64
148,math,70
148,english,69
148,chemistry,45
149,english,1
149,history,7
149,writing,100
150,gym,77
150,english,25
150,chemistry,67
151,history,26
151,civics,28
151,chemistry,51
152,engineering,28
152,writing,18
153,history,34
153,gym,79
153,chemistry,96
153,engineering,12
154,civics,20
154,engineering,43
154,chemistry,53
155,engineering,89
155,math,76
156,english,69
156,history,74
156,gym,42
156,math,47
157,english,77
157,chemistry,30
157,history,30
157,writing,36
158,chemistry,2
158,english,26
158,civics,34
158,writing,75
159,math,26
159,civics,15
159,gym,98
160,engineering,91
160,english,46
160,chemistry,10
160,writing,13
161,engineering,73
161,civics,100
161,math,16
162,math,78
162,engineering,40
162,history,87
163,civics,8
163,gym,87
163,math,32
164,history,42
164,chemistry,89
164,gym,58
164,civics,24
165,chemistry,37
165,math,34
165,english,89
165,history,61
166,writing,57
166,chemistry,81
166,engineering,86
166,gym,56
167,english,1
167,history,45
167,chemistry,15
168,history,16
168,english,96
168,chemistry,63
169,civics,99
169,english,34
169,math,46
170,writing,13
170,engineering,76
170,math,17
171,engineering,17
171,history,23
171,english,98
171,math,100
172,engineering,96
172,gym,50
172,math,35
173,gym,46
173,engineering,69
173,history,28
173,civics,65
174,chemistry,44
174,engineering,45
174,writing,8
174,math,70
175,history,26
175,math,32
175,civics,14
175,writing,19
176,gym,23
176,writing,14
176,math,22
177,chemistry,49
177,history,53
177,math,71
177,english,33
178,engineering,17
178,math,93
178,history,49
179,gym,35
179,history,70
179,math,26
179,english,77
180,gym,59
180,engineering,25
180,history,82
181,engineering,24
181,chemistry,98
181,writing,7
181,civics,84
182,history,19
182,writing,63
182,engineering,14
183,history,31
183,gym,60
183,math,61
183,engineering,72
184,engineering,85
184,gym,94
184,history,21
184,writing,73
185,history,87
185,math,61
185,chemistry,65
185,civics,62
186,writing,9
186,history,24
186,chemistry,78
186,gym,41
187,chemistry,27
187,engineering,96
187,english,97
187,gym,75
188,math,63
188,english,55
188,civics,22
188,engineering,1
189,chemistry,93
189,gym,10
189,math,41
189,english,54
190,chemistry,0
190,history,38
190,writing,98
190,civics,71
191,english,57
191,writing,62
191,civics,29
192,chemistry,10
192,engineering,49
192,english,83
192,math,69
193,gym,85
193,civics,57
193,writing,10
193,engineering,0
194,gym,67
194,writing,63
194,math,84
195,english,93
195,civics,86
195,writing,84
196,civics,62
196,chemistry,1
196,math,37
197,math,92
197,writing,36
198,engineering,38
198,english,47
199,gym,14
199,chemistry,12
199,civics,82
200,english,73
200,math,55
200,chemistry,52
201,engineering,97
201,writing,91
202,writing,21
202,english,52
202,civics,58
203,writing,45
203,gym,46
203,engineering,71
204,civics,4
204,chemistry,60
204,engineering,25
205,math,80
205,chemistry,49
205,writing,39
206,history,61
206,writing,63
206,math,51
207,engineering,65
207,math,80
207,gym,97
208,history,3
208,writing,81
208,engineering,28
209,engineering,52
209,english,21
209,math,30
209,history,98
210,gym,43
210,history,82
210,math,13
211,math,50
211,gym,2
211,history,3
212,gym,100
212,chemistry,38
212,math,73
213,chemistry,79
213,english,85
214,chemistry,34
214,math,48
214,english,69
215,english,69
215,chemistry,18
215,gym,68
215,civics,39
216,english,5
216,civics,76
216,engineering,59
216,writing,32
217,history,38
217,civics,84
217,chemistry,56
217,english,39
218,engineering,46
218,writing,5
218,english,74
218,history,22
219,civics,5
219,chemistry,81
219,english,76
219,math,64
220,gym,95
220,civics,24
220,engineering,78
220,writing,42
221,history,19
221,writing,31
221,chemistry,63
222,english,46
222,gym,74
222,math,40
222,history,68
223,english,33
223,writing,34
223,gym,80
223,math,100
224,writing,57
224,gym,52
225,math,19
225,civics,24
225,english,7
226,engineering,45
226,english,97
226,history,16
227,gym,71
227,civics,33
227,history,71
227,writing,83
228,chemistry,70
228,gym,55
229,writing,43
229,chemistry,80
229,history,50
229,english,14
230,chemistry,62
230,gym,27
230,math,70
230,civics,27
231,engineering,18
231,english,25
231,math,53
231,writing,36
232,gym,2
232,civics,42
232,chemistry,43
232,engineering,9
233,chemistry,3
233,engineering,34
233,english,37
233,writing,4
234,writing,77
234,gym,11
234,engineering,66
234,chemistry,74
235,civics,61
235,english,53
235,writing,34
235,history,83
236,gym,47
236,math,53
236,english,20
237,writing,54
237,gym,21
237,history,1
238,gym,16
238,civics,31
238,english,27
239,history,36
239,gym,89
240,civics,9
240,chemistry,85
240,engineering,2
240,writing,93
241,chemistry,26
241,english,87
241,civics,22
242,english,10
242,chemistry,34
243,civics,78
243,gym,40
243,writing,46
244,math,55
244,gym,74
244,engineering,88
244,writing,85
245,civics,27
245,writing,72
245,math,6
246,english,72
246,math,55
246,chemistry,90
246,writing,90
247,gym,23
247,engineering,48
247,writing,32
247,math,9
248,chemistry,94
248,gym,25
248,history,3
249,math,95
249,gym,50
249,engineering,97
250,history,95
250,math,76
250,english,48
251,gym,23
251,math,22
251,writing,11
252,writing,94
252,gym,62
252,history,85
253,history,87
253,gym,9
253,chemistry,28
254,english,95
254,gym,57
254,chemistry,2
255,english,79
255,gym,54
256,engineering,7
256,civics,50
256,writing,97
257,chemistry,85
257,engineering,98
257,civics,84
258,history,64
258,engineering,65
258,gym,41
258,writing,49
259,english,8
259,civics,23
259,history,87
260,chemistry,37
260,english,93
260,engineering,27
261,english,13
261,civics,56
261,chemistry,42
261,engineering,43
262,civics,39
262,math,38
263,math,92
263,gym,51
263,english,10
263,history,17
264,math,91
264,english,68
264,writing,74
264,civics,56
265,english,11
265,math,60
265,writing,71
266,gym,36
266,english,58
266,history,32
267,chemistry,5
267,history,54
267,engineering,80
268,history,66
268,gym,80
269,history,97
269,english,97
269,chemistry,73
270,civics,6
270,chemistry,16
270,english,12
270,writing,37
271,writing,7
271,chemistry,53
272,history,0
272,gym,10
273,gym,67
273,engineering,0
273,math,0
273,chemistry,17
274,math,65
274,chemistry,48
274,gym,95
275,engineering,49
275,history,78
276,engineering,51
276,gym,55
277,writing,13
277,math,68
277,engineering,73
277,gym,100
278,english,59
278,gym,51
278,math,20
279,gym,100
279,chemistry,71
279,math,23
279,english,81
280,chemistry,53
280,math,87
280,english,42
280,engineering,90
281,writing,86
281,engineering,71
281,english,44
282,gym,80
282,civics,36
282,english,4
282,history,62
283,civics,74
283,english,54
283,engineering,45
284,chemistry,70
284,math,16
284,civics,58
285,gym,43
285,writing,1
285,chemistry,53
286,engineering,72
286,english,66
286,civics,68
287,chemistry,18
287,writing,31
287,english,1
288,gym,94
288,chemistry,73
288,engineering,49
289,gym,99
289,math,76
289,civics,48
289,writing,18
290,engineering,69
290,chemistry,14
290,history,60
290,gym,72
291,writing,30
291,history,93
292,math,63
292,english,2
292,history,68
293,chemistry,85
293,gym,87
293,civics,26
293,history,70
294,gym,90
294,writing,42
294,history,94
295,history,73
295,writing,69
296,math,1
296,civics,63
296,english,38
297,civics,89
297,history,1
297,gym,7
298,gym,8
298,writing,46
298,engineering,35
299,engineering,81
299,writing,57
299,gym,37
299,history,79
300,engineering,83
301,gym,73
301,math,62
301,chemistry,33
302,history,94
302,civics,9
302,engineering,36
303,civics,35
303,chemistry,34
303,math,35
304,math,1
304,english,68
304,gym,6
305,gym,16
305,civics,1
305,writing,36
306,english,21
306,gym,19
306,chemistry,89
306,writing,14
307,english,11
307,history,0
307,chemistry,6
308,english,34
308,history,30
308,chemistry,8
309,engineering,77
309,history,94
310,english,58
310,math,54
310,civics,6
311,engineering,77
311,math,27
311,english,6
312,engineering,1
312,civics,62
312,history,36
313,engineering,83
313,gym,92
313,civics,79
313,chemistry,60
314,writing,23
314,engineering,76
314,math,58
315,history,89
315,gym,66
315,english,33
315,civics,84
316,civics,16
316,math,46
317,chemistry,35
317,writing,87
317,gym,67
318,gym,16
318,english,81
318,engineering,29
318,math,46
319,history,18
319,chemistry,94
319,civics,77
320,english,11
320,gym,91
320,writing,28
321,english,34
321,history,8
321,civics,44
322,civics,60
322,history,15
322,english,53
323,writing,97
323,gym,84
323,history,36
324,civics,79
324,english,85
325,chemistry,16
325,math,74
325,writing,81
325,english,51
326,math,25
326,history,8
326,engineering,60
326,writing,7
327,history,87
327,math,81
327,civics,80
327,chemistry,81
328,english,21
328,civics,2
328,history,3
328,math,95
329,civics,69
329,english,42
329,writing,97
330,chemistry,24
330,gym,10
330,english,75
330,history,18
331,chemistry,65
331,civics,51
331,history,85
331,math,85
332,civics,41
332,gym,51
332,engineering,62
333,english,46
333,gym,75
333,civics,95
334,engineering,89
334,english,5
334,history,72
335,history,24
335,chemistry,2
335,gym,22
335,civics,49
336,chemistry,85
336,gym,90
337,history,96
337,english,57
337,writing,11
337,gym,35
338,engineering,62
338,history,92
338,civics,96
339,civics,16
339,writing,50
339,engineering,69
339,history,70
340,history,11
340,writing,90
340,civics,38
341,engineering,48
341,writing,91
341,math,21
341,gym,6
342,english,6
342,engineering,11
342,math,95
343,gym,9
343,engineering,31
343,writing,96
344,english,59
344,gym,80
345,civics,14
345,writing,4
345,engineering,60
346,history,95
346,civics,61
346,english,79
346,chemistry,19
347,chemistry,48
347,civics,11
347,gym,73
347,math,9
348,engineering,73
348,chemistry,65
348,gym,28
348,history,3
349,history,23
349,chemistry,12
349,math,54
350,history,3
350,engineering,51
350,writing,89
351,gym,25
351,engineering,36
352,history,22
352,engineering,10
352,civics,22
353,gym,50
353,english,18
353,civics,87
353,history,45
354,gym,14
354,chemistry,15
354,math,92
355,math,58
355,engineering,14
355,chemistry,26
356,engineering,55
356,civics,77
356,gym,44
356,writing,91
357,history,76
357,writing,20
357,engineering,98
357,math,43
358,history,65
358,chemistry,90
358,math,8
359,history,40
359,writing,29
359,english,12
360,history,67
360,civics,7
361,writing,56
361,engineering,11
361,math,65
361,history,93
362,writing,47
362,english,85
362,civics,98
362,chemistry,25
363,history,77
363,math,51
363,gym,89
364,english,85
364,gym,55
364,chemistry,44
364,engineering,49
365,civics,57
365,history,17
365,math,87
366,civics,19
366,writing,77
366,english,2
367,engineering,57
367,history,69
367,math,79
367,civics,69
368,chemistry,31
368,civics,65
369,writing,72
369,chemistry,100
369,engineering,62
369,english,66
370,gym,87
370,math,45
370,english,42
370,chemistry,88
371,chemistry,55
371,writing,99
372,civics,14
372,writing,32
372,engineering,39
373,engineering,24
373,civics,42
374,writing,27
374,civics,7
374,engineering,42
374,chemistry,48
375,civics,69
375,math,54
375,engineering,81
375,english,31
376,gym,92
376,history,30
376,civics,90
377,civics,58
377,gym,66
377,english,25
378,writing,91
378,gym,88
378,english,49
379,chemistry,25
379,gym,92
379,history,68
379,english,46
380,chemistry,62
380,engineering,18
380,civics,98
380,gym,36
381,writing,67
381,history,88
381,math,13
382,history,100
382,civics,80
382,math,100
383,math,91
383,engineering,78
383,english,31
384,english,31
384,gym,27
384,civics,0
385,math,10
385,chemistry,93
385,english,97
386,english,68
386,writing,53
386,math,61
387,writing,57
387,civics,2
387,gym,61
387,chemistry,29
388,history,24
388,math,64
388,civics,21
389,engineering,23
389,writing,33
389,english,6
390,english,24
390,math,67
390,gym,47
391,civics,73
391,math,19
391,gym,32
392,engineering,29
392,history,74
392,gym,88
392,writing,61
393,math,13
393,english,86
393,civics,42
394,english,13
394,writing,97
394,history,14
395,english,94
395,gym,32
395,math,3
395,writing,38
396,civics,26
397,engineering,86
397,english,70
397,math,37
398,gym,84
398,writing,72
398,civics,65
399,math,15
399,engineering,36
399,english,24
400,english,40
400,math,11
400,engineering,50
400,history,80
401,engineering,37
401,writing,25
401,chemistry,25
401,gym,66
402,engineering,30
402,gym,52
402,history,72
402,math,76
403,english,25
403,gym,88
403,civics,3
404,civics,8
404,history,76
404,chemistry,70
405,gym,71
405,civics,32
405,chemistry,64
406,engineering,99
406,gym,96
406,history,93
407,history,34
407,english,14
407,engineering,32
407,math,47
408,gym,2
408,math,67
408,english,90
409,gym,81
409,engineering,18
409,chemistry,0
409,math,51
410,writing,55
410,engineering,27
410,civics,42
411,engineering,55
411,history,80
412,gym,53
412,writing,53
412,history,88
412,civics,53
413,engineering,54
413,writing,59
413,chemistry,72
413,history,42
414,writing,60
414,history,56
414,math,97
415,engineering,44
415,gym,41
415,english,76
416,history,25
416,gym,100
416,english,91
416,chemistry,2
417,history,63
417,engineering,41
417,civics,55
417,gym,72
418,engineering,57
418,writing,54
418,english,11
419,engineering,31
419,history,69
419,chemistry,50
419,civics,66
420,engineering,16
420,gym,62
420,history,79
420,civics,50
421,chemistry,57
421,math,1
421,history,89
422,engineering,24
422,writing,16
422,english,82
423,english,25
423,math,62
423,history,40
423,chemistry,62
424,engineering,17
424,english,23
424,civics,80
424,math,80
425,writing,61
425,gym,18
425,civics,7
426,chemistry,10
426,history,34
426,civics,64
427,chemistry,65
427,engineering,0
427,math,25
428,engineering,0
428,gym,69
428,english,48
429,chemistry,52
429,engineering,69
429,history,75
429,civics,76
430,writing,42
430,math,97
430,chemistry,85
430,gym,57
431,writing,0
431,history,57
431,civics,98
432,history,81
432,engineering,51
432,writing,32
432,gym,13
433,history,16
433,chemistry,22
433,civics,75
433,math,31
434,engineering,91
434,history,34
434,gym,44
435,math,98
435,history,92
436,gym,78
436,chemistry,22
436,math,100
437,engineering,35
437,chemistry,95
437,civics,84
438,engineering,13
438,civics,94
438,gym,35
438,english,63
439,math,4
439,writing,95
440,gym,50
440,history,36
440,chemistry,20
441,writing,28
441,engineering,62
441,gym,52
441,english,47
442,history,90
442,writing,51
442,chemistry,11
443,writing,35
443,english,37
443,civics,36
444,history,75
444,english,91
444,gym,62
445,writing,85
445,civics,21
445,english,99
446,engineering,23
446,gym,84
446,chemistry,1
446,math,54
447,history,56
447,math,73
447,gym,97
448,math,74
448,civics,12
448,writing,28
448,engineering,78
449,gym,73
449,english,27
449,engineering,98
450,engineering,65
450,writing,57
450,english,98
451,engineering,1
451,civics,68
451,gym,8
452,engineering,37
452,history,58
452,civics,23
453,english,7
453,gym,65
453,math,98
454,writing,96
454,gym,16
454,engineering,77
454,history,38
455,math,97
455,civics,99
455,chemistry,70
455,writing,90
456,chemistry,98
456,history,81
456,civics,92
457,engineering,54
457,history,1
457,writing,64
457,civics,80
458,civics,60
458,gym,3
459,math,95
459,writing,68
459,gym,30
459,english,76
460,gym,42
460,history,55
460,civics,95
460,engineering,51
461,gym,86
461,math,12
461,english,5
461,engineering,28
462,civics,4
462,engineering,19
462,chemistry,70
463,writing,37
463,chemistry,59
463,civics,9
463,gym,65
464,engineering,42
464,writing,75
464,chemistry,4
465,engineering,73
465,english,2
465,writing,48
466,gym,100
466,english,3
466,civics,26
466,writing,41
467,civics,12
467,writing,82
467,chemistry,43
468,writing,34
468,history,19
468,engineering,48
468,english,95
469,civics,0
469,gym,33
469,writing,33
469,chemistry,68
470,writing,18
470,history,33
470,chemistry,81
470,english,52
471,chemistry,33
471,writing,5
471,engineering,79
472,math,3
472,gym,58
472,chemistry,64
473,writing,7
473,math,44
473,civics,56
474,writing,100
474,gym,28
474,english,20
474,engineering,92
475,civics,89
475,history,92
475,english,8
475,chemistry,48
476,math,75
476,gym,34
477,gym,38
477,engineering,92
477,writing,72
477,math,72
478,chemistry,22
478,math,15
478,history,24
479,engineering,51
479,history,92
479,civics,55
480,history,15
480,math,83
480,chemistry,86
481,english,40
481,engineering,66
481,history,4
481,chemistry,50
482,chemistry,31
482,engineering,98
483,writing,7
483,history,64
483,chemistry,43
483,math,2
484,math,74
484,civics,62
484,engineering,34
484,chemistry,96
485,english,37
485,gym,66
485,engineering,10
486,chemistry,39
486,writing,10
487,history,16
487,math,78
487,writing,19
488,gym,10
488,civics,15
488,english,100
489,civics,76
489,engineering,41
489,math,82
489,chemistry,76
490,engineering,86
490,english,46
490,writing,4
491,gym,45
491,civics,12
491,chemistry,81
492,history,36
492,chemistry,28
492,writing,72
492,engineering,71
493,english,40
493,history,75
494,engineering,38
494,math,22
494,gym,26
495,history,95
495,english,71
495,chemistry,45
496,gym,20
496,writing,65
496,chemistry,70
497,writing,4
497,gym,84
497,history,28
497,civics,60
498,history,30
498,chemistry,73
498,civics,87
498,math,83
499,english,65
499,engineering,96
499,civics,55
